invoice_id,msme_id,invoice_amount,buyer_type,buyer_industry,invoice_date,due_date,payment_term_days,historical_payment_delay_days,seller_credit_score,invoice_frequency,payment_status,risk_label,risk_score,msme_credit_score,msme_credit_label,msme_industry
INV0000001,MSME000176,1711900.92,Large Corporate,Manufacturing,2026-02-19 17:27:56.061330,2026-03-21 17:27:56.061330,30,20,92.36,2,Paid_OnTime,Low,21.49,92.36,Approve,Manufacturing
INV0000002,MSME003695,3111367.19,SME,Automotive,2026-03-07 17:27:56.061330,2026-05-06 17:27:56.061330,60,70,60.49,1,Defaulted,Medium,54.95,60.49,Review,Food & Beverage
INV0000003,MSME001575,1069186.21,Large Corporate,Manufacturing,2026-03-06 17:27:56.061330,2026-06-04 17:27:56.061330,90,24,64.89,1,Paid_OnTime,Low,34.42,64.89,Review,Retail
INV0000004,MSME000328,706045.52,Government,Automotive,2026-01-26 17:27:56.061330,2026-02-25 17:27:56.061330,30,78,57.12,1,Paid_Late,Medium,59.37,57.12,Review,Food & Beverage
INV0000005,MSME002695,135651.76,SME,FMCG,2026-03-04 17:27:56.061330,2026-04-03 17:27:56.061330,30,55,58.49,3,Paid_Late,Medium,39.0,58.49,Review,Retail
INV0000006,MSME002303,4795623.76,Large Corporate,Manufacturing,2026-03-05 17:27:56.061330,2026-04-04 17:27:56.061330,30,23,74.89,1,Defaulted,Medium,44.1,74.89,Approve,Manufacturing
INV0000007,MSME002684,3648198.28,Large Corporate,Real Estate,2026-01-06 17:27:56.061330,2026-02-05 17:27:56.061330,30,42,82.75,4,Paid_OnTime,Low,32.78,82.75,Approve,Food & Beverage
INV0000008,MSME004097,1318554.8,Government,Manufacturing,2025-10-21 17:27:56.061330,2025-11-20 17:27:56.061330,30,73,73.45,1,Paid_OnTime,Medium,40.82,73.45,Approve,Services
INV0000009,MSME004043,2800686.18,SME,Real Estate,2025-10-18 17:27:56.061330,2025-11-17 17:27:56.061330,30,54,73.99,1,Paid_OnTime,Medium,53.83,73.99,Approve,Retail
INV0000010,MSME000801,3259087.27,Retail,Healthcare,2025-10-18 17:27:56.061330,2025-12-17 17:27:56.061330,60,33,35.43,2,Paid_Late,Medium,53.09,35.43,Reject,Manufacturing
INV0000011,MSME001618,2165873.28,Retail,Manufacturing,2025-10-14 17:27:56.061330,2025-12-13 17:27:56.061330,60,56,91.01,1,Paid_OnTime,Medium,46.8,91.01,Approve,Textile
INV0000012,MSME004897,360132.93,Government,FMCG,2025-10-23 17:27:56.061330,2025-11-22 17:27:56.061330,30,74,86.35,2,Paid_OnTime,Medium,35.57,86.35,Approve,Services
INV0000013,MSME004021,1957861.98,Government,Manufacturing,2026-01-02 17:27:56.061330,2026-02-01 17:27:56.061330,30,78,69.3,1,Paid_Late,Medium,48.1,69.3,Review,Retail
INV0000014,MSME000897,596782.91,Government,Government,2025-11-04 17:27:56.061330,2025-12-04 17:27:56.061330,30,74,96.68,1,Defaulted,High,66.16,96.68,Approve,Food & Beverage
INV0000015,MSME002402,739235.59,Retail,Real Estate,2025-11-01 17:27:56.061330,2025-12-01 17:27:56.061330,30,44,53.9,1,Paid_OnTime,Medium,46.65,53.9,Review,Food & Beverage
INV0000016,MSME001366,3240001.55,Retail,Manufacturing,2025-12-10 17:27:56.061330,2026-01-09 17:27:56.061330,30,57,47.6,2,Paid_Late,Medium,53.01,47.6,Review,Textile
INV0000017,MSME002252,1695957.12,Large Corporate,Government,2026-03-07 17:27:56.061330,2026-05-06 17:27:56.061330,60,32,66.88,1,Paid_OnTime,Low,7.14,66.88,Review,Textile
INV0000018,MSME002704,1602755.32,Government,Real Estate,2026-02-17 17:27:56.061330,2026-04-18 17:27:56.061330,60,77,73.85,2,Paid_Late,Medium,49.54,73.85,Approve,Food & Beverage
INV0000019,MSME001844,4399419.39,SME,Automotive,2026-01-12 17:27:56.061330,2026-03-13 17:27:56.061330,60,59,41.94,3,Paid_OnTime,Medium,50.54,41.94,Reject,Textile
INV0000020,MSME002995,2199306.79,SME,FMCG,2026-01-22 17:27:56.061330,2026-02-21 17:27:56.061330,30,66,80.08,2,Paid_Late,Medium,42.51,80.08,Approve,Textile
INV0000021,MSME000302,4168699.06,Large Corporate,Government,2026-02-07 17:27:56.061330,2026-05-08 17:27:56.061330,90,41,98.4,5,Paid_OnTime,Low,29.05,98.4,Approve,Manufacturing
INV0000022,MSME003909,4521233.92,Large Corporate,Manufacturing,2025-11-29 17:27:56.061330,2026-01-28 17:27:56.061330,60,33,48.27,2,Defaulted,Medium,50.59,48.27,Review,Manufacturing
INV0000023,MSME002084,4699306.24,Retail,Healthcare,2025-10-18 17:27:56.061330,2026-01-16 17:27:56.061330,90,41,51.44,1,Paid_Late,Medium,52.69,51.44,Review,Retail
INV0000024,MSME004959,3942476.53,Retail,Healthcare,2026-02-21 17:27:56.061330,2026-03-23 17:27:56.061330,30,51,54.84,1,Paid_Late,Medium,52.59,54.84,Review,Textile
INV0000025,MSME001206,2169642.07,SME,Automotive,2026-01-05 17:27:56.061330,2026-02-04 17:27:56.061330,30,46,51.41,1,Defaulted,Medium,44.51,51.41,Review,Textile
INV0000026,MSME000233,801685.16,Retail,Government,2025-10-19 17:27:56.061330,2025-12-18 17:27:56.061330,60,50,64.4,1,Paid_OnTime,Medium,58.96,64.4,Review,Textile
INV0000027,MSME003622,2660199.35,Retail,IT Services,2025-11-13 17:27:56.061330,2025-12-13 17:27:56.061330,30,33,67.66,3,Defaulted,Medium,48.58,67.66,Review,Services
INV0000028,MSME003267,1973245.34,Large Corporate,Automotive,2026-01-20 17:27:56.061330,2026-02-19 17:27:56.061330,30,42,56.95,1,Paid_OnTime,Medium,52.03,56.95,Review,Services
INV0000029,MSME000619,848018.54,Government,Manufacturing,2026-01-28 17:27:56.061330,2026-03-29 17:27:56.061330,60,63,53.88,1,Paid_Late,Medium,51.34,53.88,Review,Manufacturing
INV0000030,MSME001441,4795225.93,SME,Manufacturing,2026-01-05 17:27:56.061330,2026-02-04 17:27:56.061330,30,58,74.61,2,Paid_Late,High,71.93,74.61,Approve,Manufacturing
INV0000031,MSME003624,4381495.19,Large Corporate,FMCG,2025-11-17 17:27:56.061330,2025-12-17 17:27:56.061330,30,39,63.98,1,Paid_OnTime,Medium,38.07,63.98,Review,Retail
INV0000032,MSME004282,3965131.17,Large Corporate,FMCG,2025-10-30 17:27:56.061330,2025-11-29 17:27:56.061330,30,44,45.92,2,Paid_OnTime,Medium,51.95,45.92,Review,Manufacturing
INV0000033,MSME004103,1047531.57,Large Corporate,Manufacturing,2026-02-07 17:27:56.061330,2026-03-09 17:27:56.061330,30,42,61.53,1,Paid_Late,Medium,54.46,61.53,Review,Textile
INV0000034,MSME002940,4611440.24,SME,Automotive,2026-03-12 17:27:56.061330,2026-04-11 17:27:56.061330,30,72,55.82,1,Paid_Late,High,74.33,55.82,Review,Retail
INV0000035,MSME002872,1152492.76,Government,IT Services,2026-03-01 17:27:56.061330,2026-04-30 17:27:56.061330,60,74,73.72,2,Paid_OnTime,Medium,39.01,73.72,Approve,Textile
INV0000036,MSME002185,4686844.46,Government,Real Estate,2025-11-02 17:27:56.061330,2025-12-02 17:27:56.061330,30,67,68.02,1,Defaulted,High,78.72,68.02,Review,Textile
INV0000037,MSME004786,3988260.12,Large Corporate,FMCG,2026-02-19 17:27:56.061330,2026-04-20 17:27:56.061330,60,26,68.46,1,Paid_OnTime,Medium,37.1,68.46,Review,Food & Beverage
INV0000038,MSME000391,3751220.4,Retail,Real Estate,2026-01-12 17:27:56.061330,2026-02-11 17:27:56.061330,30,47,77.63,1,Paid_Late,Medium,47.88,77.63,Approve,Retail
INV0000039,MSME002731,4993781.88,Retail,Real Estate,2026-02-20 17:27:56.061330,2026-03-22 17:27:56.061330,30,40,98.8,1,Paid_OnTime,Medium,47.64,98.8,Approve,Retail
INV0000040,MSME001792,2531111.02,Large Corporate,FMCG,2026-01-10 17:27:56.061330,2026-03-11 17:27:56.061330,60,27,58.82,2,Paid_Late,Medium,52.43,58.82,Review,Textile
INV0000041,MSME003397,1999726.34,Government,Automotive,2026-02-12 17:27:56.061330,2026-03-14 17:27:56.061330,30,71,60.36,2,Paid_Late,Medium,44.86,60.36,Review,Food & Beverage
INV0000042,MSME002302,4253825.85,Large Corporate,Healthcare,2026-03-03 17:27:56.061330,2026-04-02 17:27:56.061330,30,42,62.91,4,Paid_Late,Low,29.97,62.91,Review,Food & Beverage
INV0000043,MSME002422,3625893.22,SME,Manufacturing,2026-03-05 17:27:56.061330,2026-06-03 17:27:56.061330,90,51,74.32,1,Paid_Late,Medium,38.14,74.32,Approve,Food & Beverage
INV0000044,MSME004770,3295752.58,Government,Real Estate,2026-01-14 17:27:56.061330,2026-02-13 17:27:56.061330,30,68,57.96,3,Paid_OnTime,High,80.47,57.96,Review,Services
INV0000045,MSME003367,1716726.33,Retail,Retail,2026-01-28 17:27:56.061330,2026-02-27 17:27:56.061330,30,49,91.87,1,Paid_OnTime,Low,29.41,91.87,Approve,Retail
INV0000046,MSME004743,3526760.74,Government,FMCG,2026-02-02 17:27:56.061330,2026-04-03 17:27:56.061330,60,84,66.25,2,Paid_OnTime,Medium,47.42,66.25,Review,Services
INV0000047,MSME002759,1571527.58,SME,Automotive,2026-01-30 17:27:56.061330,2026-03-01 17:27:56.061330,30,63,75.09,2,Paid_OnTime,Medium,40.71,75.09,Approve,Manufacturing
INV0000048,MSME001702,2663077.27,SME,FMCG,2026-02-23 17:27:56.061330,2026-03-25 17:27:56.061330,30,66,88.68,3,Paid_Late,Medium,37.17,88.68,Approve,Textile
INV0000049,MSME001672,1787995.7,Large Corporate,Retail,2026-02-09 17:27:56.061330,2026-05-10 17:27:56.061330,90,26,61.17,1,Paid_Late,Medium,48.16,61.17,Review,Services
INV0000050,MSME001965,1238129.93,Large Corporate,IT Services,2025-11-22 17:27:56.061330,2025-12-22 17:27:56.061330,30,32,81.08,1,Paid_OnTime,Low,15.79,81.08,Approve,Manufacturing
INV0000051,MSME001698,769571.05,SME,Real Estate,2026-03-16 17:27:56.061330,2026-04-15 17:27:56.061330,30,51,79.49,2,Paid_OnTime,Medium,35.49,79.49,Approve,Textile
INV0000052,MSME002878,690268.56,Large Corporate,Automotive,2026-02-06 17:27:56.061330,2026-03-08 17:27:56.061330,30,17,63.45,1,Paid_OnTime,Low,24.76,63.45,Review,Retail
INV0000053,MSME004946,4489044.16,Government,Retail,2026-01-09 17:27:56.061330,2026-03-10 17:27:56.061330,60,72,89.97,1,Paid_OnTime,Medium,52.47,89.97,Approve,Manufacturing
INV0000054,MSME003955,3393509.18,SME,Manufacturing,2025-12-31 17:27:56.061330,2026-01-30 17:27:56.061330,30,74,72.42,1,Defaulted,Medium,63.6,72.42,Approve,Food & Beverage
INV0000055,MSME003283,637854.85,SME,Automotive,2025-12-30 17:27:56.061330,2026-03-30 17:27:56.061330,90,51,61.27,1,Paid_Late,Medium,38.48,61.27,Review,Services
INV0000056,MSME002108,4509450.85,Retail,Government,2025-11-27 17:27:56.061330,2025-12-27 17:27:56.061330,30,40,66.88,3,Paid_Late,Medium,58.8,66.88,Review,Services
INV0000057,MSME001983,3353987.4,Government,Retail,2025-11-10 17:27:56.061330,2025-12-10 17:27:56.061330,30,66,51.73,1,Paid_OnTime,Medium,63.19,51.73,Review,Food & Beverage
INV0000058,MSME003651,3295758.46,Government,Healthcare,2025-11-02 17:27:56.061330,2026-01-31 17:27:56.061330,90,80,72.86,2,Defaulted,Medium,44.77,72.86,Approve,Retail
INV0000059,MSME001943,3785399.99,Large Corporate,Healthcare,2025-11-30 17:27:56.061330,2025-12-30 17:27:56.061330,30,36,54.83,2,Paid_OnTime,Low,33.42,54.83,Review,Textile
INV0000060,MSME002885,3401982.37,Retail,IT Services,2025-12-09 17:27:56.061330,2026-03-09 17:27:56.061330,90,32,44.9,2,Paid_Late,Low,28.66,44.9,Reject,Textile
INV0000061,MSME002067,2399102.91,SME,IT Services,2025-11-01 17:27:56.061330,2025-12-31 17:27:56.061330,60,57,76.24,3,Paid_OnTime,Medium,40.36,76.24,Approve,Manufacturing
INV0000062,MSME002832,914007.32,Government,Manufacturing,2026-03-09 17:27:56.061330,2026-06-07 17:27:56.061330,90,81,64.56,2,Paid_Late,Medium,53.66,64.56,Review,Textile
INV0000063,MSME000280,1301374.79,SME,Retail,2025-12-02 17:27:56.061330,2026-01-31 17:27:56.061330,60,74,69.91,3,Paid_Late,Medium,37.54,69.91,Review,Textile
INV0000064,MSME000612,1283393.75,Retail,Real Estate,2025-11-04 17:27:56.061330,2025-12-04 17:27:56.061330,30,57,53.6,2,Paid_OnTime,Medium,44.65,53.6,Review,Food & Beverage
INV0000065,MSME000833,3708155.87,Large Corporate,Manufacturing,2025-11-28 17:27:56.061330,2026-02-26 17:27:56.061330,90,21,89.93,2,Paid_OnTime,Low,21.58,89.93,Approve,Food & Beverage
INV0000066,MSME003475,1065408.49,Government,Government,2025-12-29 17:27:56.061330,2026-01-28 17:27:56.061330,30,70,62.21,2,Paid_Late,Medium,37.8,62.21,Review,Retail
