msme_id,business_name,industry_type,business_age_years,state,udyam_registered,gst_filing_months,avg_monthly_turnover,gst_compliance_score,turnover_growth_rate,avg_monthly_upi_inflow,upi_transaction_consistency,num_unique_buyers,peak_to_offpeak_ratio,loan_amount_requested,loan_purpose,existing_loans,collateral_available,credit_score,credit_label,filed_months,total_months,gst_filing_pct,avg_monthly_balance_lakhs,total_bounces,low_balance_days_pct
MSME000001,Patel Choudhury Services,Retail,4,Kerala,0,12,556269.33,74.97,27.7,171972.11,0.671,472,4.59,4373893.12,Working Capital,0,1,65.63,Review,12,12,100.0,0.83,10,10.0
MSME000002,Patel Bakshi Corporation,Textile,17,Haryana,0,12,2389912.87,80.45,15.44,1814196.53,0.33,89,3.89,21898418.46,Expansion,0,0,55.0,Review,12,12,100.0,3.58,5,7.8
MSME000003,"Maharaj, Konda and Kapoor",Services,5,Madhya Pradesh,1,9,4971826.5,60.58,61.71,3266959.95,0.658,21,1.81,19337374.77,Expansion,0,1,67.04,Review,9,12,75.0,7.46,10,15.8
MSME000004,Chaudry Ltd,Food & Beverage,3,Telangana,0,6,21144.39,43.03,55.27,15702.77,0.456,242,3.36,152725.99,Working Capital,0,1,32.29,Reject,6,12,50.0,0.03,5,22.8
MSME000005,"Chahal, Sami and Balay",Manufacturing,4,Punjab,1,11,2585193.12,54.15,49.35,2015932.3,0.864,95,2.03,35926099.56,Machinery,0,0,65.27,Review,11,12,91.67,3.88,5,18.3
MSME000006,Singh Balan Exports,Food & Beverage,5,Delhi,1,9,84720.98,61.21,28.88,34989.92,0.827,74,2.33,221834.05,Working Capital,0,0,69.25,Review,9,12,75.0,0.13,12,15.5
MSME000007,Sharma Chander Corporation,Food & Beverage,14,Madhya Pradesh,1,9,497622.9,60.31,65.14,293184.68,1.0,103,2.91,1373573.23,Expansion,1,0,64.14,Review,9,12,75.0,0.75,12,15.9
MSME000008,Singh Kamdar Manufacturing,Services,15,Uttar Pradesh,1,12,726466.64,87.28,8.7,394487.27,0.597,21,1.58,3035201.09,Working Capital,0,0,79.02,Approve,12,12,100.0,1.09,12,5.1
MSME000009,Tiwari PLC,Textile,20,Uttar Pradesh,1,12,1193603.71,94.32,-19.72,678933.19,0.944,59,3.01,13246308.11,Machinery,1,1,98.75,Approve,12,12,100.0,1.79,8,2.3
MSME000010,Issac Ltd,Services,17,Punjab,1,8,499418.17,72.62,57.92,161633.99,1.0,78,1.5,3964974.89,Machinery,1,1,88.07,Approve,8,12,66.67,0.75,8,11.0
MSME000011,"Saini, Kannan and Sen",Manufacturing,6,Tamil Nadu,0,12,659744.7,64.53,3.12,499422.05,0.566,137,1.34,9776113.32,Inventory,0,1,54.18,Review,12,12,100.0,0.99,7,14.2
